,Tree_ID,Average_Node_Degree,Reply_to_Node_Ratio,Gini_Coefficient,Nestedness_Score,Structural_Entropy
3406,454176455,0.9583333333333334,0.9583333333333334,0.5634057971014492,2.8333333333333335,2.1829316468984663
3407,454176191,0.875,0.875,0.48214285714285715,2.25,2.5
3408,454176177,0.0,0.0,,0.0,0.0
3409,454175492,0.0,0.0,,0.0,0.0
3410,454174987,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.584962500721156
3411,454174704,0.75,0.75,0.25,1.5,2.0
3412,454174622,0.5,0.5,0.5,0.5,1.0
3413,454173991,0.8,0.8,0.7,1.0,1.3709505944546687
3414,454173420,0.9285714285714286,0.9285714285714286,0.7417582417582418,1.6428571428571428,1.8702538164316223
3415,454161092,0.0,0.0,,0.0,0.0
3416,454156114,0.0,0.0,,0.0,0.0
3417,454147639,0.0,0.0,,0.0,0.0
3418,454142618,0.0,0.0,,0.0,0.0
3419,454141642,0.75,0.75,0.5833333333333334,1.0,1.5
3420,454135972,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9182958340544896
3421,454133165,0.0,0.0,,0.0,0.0
3422,454124086,0.0,0.0,,0.0,0.0
3423,454114529,0.5,0.5,0.5,0.5,1.0
3424,454328864,0.875,0.875,0.3392857142857143,2.0,2.25
3425,454327310,0.0,0.0,,0.0,0.0
3426,454322559,0.0,0.0,,0.0,0.0
3427,454320609,0.0,0.0,,0.0,0.0
3428,454317834,0.0,0.0,,0.0,0.0
3429,454317683,0.75,0.75,0.5833333333333334,1.0,1.5
3430,454313342,0.0,0.0,,0.0,0.0
3431,454311560,0.0,0.0,,0.0,0.0
3432,454307054,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.584962500721156
3433,454306802,0.5,0.5,0.5,0.5,1.0
3434,454305086,0.0,0.0,,0.0,0.0
3435,454299565,0.5,0.5,0.5,0.5,1.0
3436,454299008,0.5,0.5,0.5,0.5,1.0
3437,454294894,0.0,0.0,,0.0,0.0
3438,454294808,0.5,0.5,0.5,0.5,1.0
3439,454293560,0.0,0.0,,0.0,0.0
3440,454293483,0.0,0.0,,0.0,0.0
3441,454288960,0.0,0.0,,0.0,0.0
3442,454284294,0.0,0.0,,0.0,0.0
3443,454281245,0.0,0.0,,0.0,0.0
3444,454277910,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.584962500721156
3445,454274956,0.0,0.0,,0.0,0.0
3446,454262722,0.5,0.5,0.5,0.5,1.0
3447,454261282,0.0,0.0,,0.0,0.0
3448,454261040,0.5,0.5,0.5,0.5,1.0
3449,454259214,0.0,0.0,,0.0,0.0
3450,454258091,0.0,0.0,,0.0,0.0
3451,454247157,0.75,0.75,0.5833333333333334,1.25,1.5
3452,454242211,0.0,0.0,,0.0,0.0
3453,454240038,0.0,0.0,,0.0,0.0
3454,454230889,0.0,0.0,,0.0,0.0
3455,454228760,0.0,0.0,,0.0,0.0
3456,454227767,0.8,0.8,0.5,1.2,1.5219280948873621
3457,454224239,0.0,0.0,,0.0,0.0
3458,454222105,0.0,0.0,,0.0,0.0
3459,454221841,0.0,0.0,,0.0,0.0
3460,454221683,0.75,0.75,0.75,0.75,0.8112781244591328
3461,454434408,0.0,0.0,,0.0,0.0
3462,454432495,0.0,0.0,,0.0,0.0
3463,454426639,0.0,0.0,,0.0,0.0
3464,454422187,0.5,0.5,0.5,0.5,1.0
3465,454420459,0.0,0.0,,0.0,0.0
3466,454417161,0.0,0.0,,0.0,0.0
3467,454415897,0.5,0.5,0.5,0.5,1.0
3468,454415888,0.0,0.0,,0.0,0.0
3469,454411166,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.584962500721156
3470,454410916,0.0,0.0,,0.0,0.0
3471,454406672,0.0,0.0,,0.0,0.0
3472,454402904,0.875,0.875,0.625,2.25,2.1556390622295662
3473,454402302,0.5,0.5,0.5,0.5,1.0
3474,454394206,0.0,0.0,,0.0,0.0
3475,454388031,0.0,0.0,,0.0,0.0
3476,454387192,0.0,0.0,,0.0,0.0
3477,454380163,0.5,0.5,0.5,0.5,1.0
3478,454371628,0.9932885906040269,0.9932885906040269,0.6547251949936513,3.8053691275167787,2.5464270214944795
